"Year","Name","Position","Age","Round","Pick","College","Conference","Games","Seasons","Height","Weight","X40.Yard","Bench","Broad.Jump","Shuttle","X3.Cone","Vertical","Pass.Att","Pass.Completions","Pass.Yds","Pass.TD","Pass.Int","Passer.Rating","Rush.Att","Rush.Yds","Rush.TD","Rec","Rec.Yds","Rec.TD","Solo.Tackles","Ast.Tackles","Total.Tackles","Tackles.for.Loss","Sacks","Int","Int.Return.Yards","Int.TD","Pass.Deflection","Fumble.Recovery","Fumble.Return.Yards","Fumble.TD","Forced.Fumbles","PRs","PR.Yds","PR.TD","KRs","KR.Yds","KR.TD","XPA","XP.","FGA","FG.","Punts","Punt.Avg"
2016,"Joe Thuney","G",23,3,78,"North Carolina St.","ACC",41,4,77,304,4.95,28,110,4.54,7.47,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Isaac Seumalo","G",22,3,79,"Oregon St.","Pac-12",41,4,76,303,5.19,0,105,4.52,7.4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Adolphus Washington","DT",21,3,80,"Ohio St.","Big Ten",36,3,75,301,5.17,21,99,4.79,8.06,27,0,0,0,0,0,0,0,0,0,0,0,0,71,71,142,25,13.5,1,20,1,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Austin Hooper","TE",21,3,81,"Stanford","Pac-12",24,2,76,254,4.72,19,117,4.32,7,33,0,0,0,0,0,0,0,0,0,74,937,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Le'Raven Clark","T",23,3,82,"Texas Tech","Big 12",41,4,77,316,5.16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Jordan Jenkins","OLB",22,3,83,"Georgia","SEC",37,3,75,259,4.8,16,121,0,0,36.5,0,0,0,0,0,0,0,0,0,0,0,0,107,97,204,39,19,0,0,0,5,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0
2016,"Kendall Fuller","CB",21,3,84,"Virginia Tech","ACC",29,3,71,187,4.48,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,46,119,8,3.5,8,48,1,25,2,0,0,2,0,0,0,9,-2,0,0,0,0,0,0,0
2016,"Braxton Miller","WR",23,3,85,"Ohio St.","Big Ten",50,5,73,201,4.5,17,123,4.07,6.65,35,0,0,0,0,0,0,600,3315,33,25,340,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Leonte Carroo","WR",22,3,86,"Rutgers","Big Ten",30,3,72,211,4.5,14,120,0,0,35.5,0,0,0,0,0,0,0,0,0,122,2373,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4,0,0,0,0,0,0,0
2016,"Nick Vigil","ILB",23,3,87,"Utah St.","MWC",40,3,74,239,4.72,0,115,4,6.73,31.5,0,0,0,0,0,0,0,0,0,0,0,0,160,179,339,40,17.5,2,19,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2016,"Kyler Fackrell","OLB",24,3,88,"Utah St.","MWC",41,4,77,245,4.72,15,121,0,0,34.5,0,0,0,0,0,0,0,0,0,0,0,0,104,149,253,36,13,4,125,1,1,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
2016,"C.J. Prosise","RB",22,3,90,"Notre Dame","Ind",32,3,72,220,4.48,0,121,0,0,35.5,0,0,0,0,0,0,167,1155,12,62,896,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
